INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 189	Loss: 0.7253189086914062	Top1 accuracy: 88.4765625
DEBUG:root:Epoch: 190	Loss: 0.6363962292671204	Top1 accuracy: 86.328125
DEBUG:root:Epoch: 191	Loss: 0.6786450743675232	Top1 accuracy: 91.9921875
DEBUG:root:Epoch: 192	Loss: 0.7377934455871582	Top1 accuracy: 88.8671875
DEBUG:root:Epoch: 193	Loss: 0.5659815073013306	Top1 accuracy: 89.6484375
DEBUG:root:Epoch: 194	Loss: 0.6669164299964905	Top1 accuracy: 88.8671875
DEBUG:root:Epoch: 195	Loss: 0.7325955033302307	Top1 accuracy: 89.84375
DEBUG:root:Epoch: 196	Loss: 0.6449386477470398	Top1 accuracy: 88.0859375
DEBUG:root:Epoch: 197	Loss: 0.7068176865577698	Top1 accuracy: 90.625
DEBUG:root:Epoch: 198	Loss: 0.6844550371170044	Top1 accuracy: 89.0625
DEBUG:root:Epoch: 199	Loss: 0.661622166633606	Top1 accuracy: 87.5
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs/Apr13_14-18-24_j-leelab1.mae.ncsu.edu.
